TARGET55	-195.281	885.003	-534.235	0.031	0.013	0.014	0.000
TARGET56	-197.636	-105.631	-280.863	0.045	0.015	0.017	0.000
TARGET57	-194.768	-1109.341	-8.720	0.030	0.012	0.011	0.000
TARGET58	-196.359	653.265	-520.954	0.030	0.011	0.014	0.000
TARGET59	-198.303	-342.399	-273.540	0.035	0.010	0.014	0.000
TARGET60	-197.022	483.961	-510.839	0.030	0.011	0.014	0.000
TARGET61	-195.739	-1307.483	-6.085	0.033	0.014	0.011	0.000
TARGET62	-198.444	282.723	-498.724	0.030	0.011	0.014	0.000
TARGET63	-194.515	-1501.236	-6.272	0.040	0.020	0.013	0.000
TARGET64	-199.707	78.281	-487.245	0.029	0.009	0.013	0.000
TARGET65	-198.793	-728.308	-251.853	0.028	0.010	0.011	0.000
TARGET66	-194.566	-1727.669	7.042	0.045	0.025	0.015	0.000
TARGET67	-200.127	-106.444	-479.716	0.032	0.010	0.014	0.000
TARGET68	-198.295	-923.228	-240.926	0.028	0.010	0.011	0.000
TARGET69	-200.535	-354.465	-463.423	0.029	0.010	0.013	0.000
TARGET70	-198.461	-1318.654	-209.947	0.032	0.014	0.012	0.000
TARGET71	-201.030	-550.030	-452.195	0.028	0.010	0.012	0.000
TARGET72	-201.328	-735.466	-440.642	0.028	0.010	0.012	0.000
TARGET73	-198.251	-1518.598	-204.865	0.041	0.022	0.015	0.000
TARGET74	-156.420	1761.248	2088.114	0.039	0.024	0.021	0.000
TARGET75	-157.706	1562.754	2097.119	0.035	0.018	0.019	0.000
TARGET76	-159.265	1162.224	2112.360	0.033	0.015	0.018	0.000
TARGET77	-159.779	1563.353	1916.865	0.034	0.017	0.017	0.000
TARGET78	-161.029	1355.832	1918.665	0.032	0.015	0.016	0.000
TARGET79	-160.841	1153.087	1924.198	0.031	0.013	0.016	0.000
TARGET80	-161.192	963.617	1925.472	0.031	0.013	0.016	0.000
TARGET81	-162.489	765.784	1929.500	0.030	0.012	0.016	0.000
TARGET82	-164.076	564.562	1933.350	0.030	0.011	0.016	0.000
TARGET83	-165.043	360.264	1940.288	0.030	0.011	0.016	0.000
TARGET84	-165.405	167.262	1943.854	0.030	0.010	0.016	0.000
TARGET85	-163.629	1546.079	1702.304	0.031	0.016	0.014	0.000
TARGET86	-163.450	1343.013	1709.038	0.031	0.014	0.014	0.000
TARGET87	-163.883	1142.649	1716.012	0.030	0.013	0.014	0.000
TARGET88	-163.602	952.418	1720.078	0.029	0.012	0.014	0.000
TARGET89	-165.139	756.024	1725.075	0.029	0.011	0.014	0.000
TARGET90	-167.202	554.425	1739.057	0.029	0.011	0.014	0.000
TARGET91	-167.897	354.388	1749.904	0.029	0.010	0.014	0.000
TARGET92	-168.002	160.552	1759.008	0.029	0.010	0.014	0.000
TARGET93	-167.775	-50.319	1766.998	0.029	0.010	0.014	0.000
TARGET94	-168.481	-239.562	1775.371	0.029	0.010	0.014	0.000
TARGET95	-168.453	-438.210	1778.312	0.029	0.010	0.014	0.000
